id,label
vid001,1
vid002,1
vid003,1
vid004,0
vid005,1
vid006,1
vid007,1
vid008,0
vid009,0
vid010,1
vid011,1
vid012,0
vid013,1
vid014,0
vid015,1
vid016,1
vid017,1
vid018,1
vid019,0
vid020,1
vid021,0
vid022,0
vid023,1
vid024,1
vid025,0
vid026,0
vid027,1
vid028,1
vid029,1
vid030,1
vid031,0
vid032,1
vid033,0
vid034,0
vid035,1
vid036,0
vid037,0
vid038,0
vid039,0
vid040,0
vid041,0
vid042,0
vid043,1
vid044,0
vid045,0
vid046,0
vid047,1
vid048,1
vid049,0
vid050,1
vid051,1
vid052,0
vid053,1
vid054,0
vid055,1
vid056,1
vid057,0
vid058,0
vid059,1
vid060,0
vid061,1
vid062,0
vid063,0
vid064,1
vid065,1
vid066,0
vid067,0
vid068,1
vid069,0
vid070,1
vid071,0
vid072,0
vid073,1
vid074,1
vid075,0
vid076,1
vid077,0
vid078,0
vid079,0
vid080,1
vid081,1
vid082,1
vid083,0
vid084,0
vid085,0
vid086,0
vid087,0
vid088,0
vid089,0
vid090,0
vid091,1
vid092,0
vid093,0
vid094,1
vid095,0
vid096,0
vid097,1
vid098,0
vid099,1
vid100,0
vid101,1
vid102,0
vid103,0
vid104,1
vid105,1
vid106,1
vid107,0
vid108,0
vid109,1
vid110,0
vid111,0
vid112,1
vid113,0
vid114,1
vid115,1
vid116,0
vid117,0
vid118,1
vid119,1
vid120,1
vid121,0
vid122,1
vid123,1
vid124,1
vid125,0
vid126,1
vid127,0
vid128,0
vid129,1
vid130,1
vid131,0
vid132,0
vid133,1
vid134,0
vid135,1
vid136,1
vid137,1
vid138,1
vid139,1
vid140,0
vid141,0
vid142,0
vid143,1
vid144,0
vid145,1
vid146,1
vid147,0
vid148,0
vid149,0
vid150,0
vid151,1
vid152,0
vid153,1
vid154,1
vid155,1
vid156,1
vid157,1
vid158,0
vid159,1
vid160,0
vid161,1
vid162,1
vid163,0
vid164,0
vid165,0
vid166,0
vid167,1
vid168,1
vid169,1
vid170,0
vid171,0
vid172,1
vid173,1
vid174,0
vid175,0
vid176,1
vid177,0
vid178,0
vid179,1
vid180,0
vid181,1
vid182,0
vid183,1
vid184,1
vid185,0
vid186,1
vid187,1
vid188,1
vid189,0
vid190,0
vid191,0
vid192,1
vid193,1
vid194,1
vid195,1
vid196,0
vid197,1
vid198,1
vid199,0
vid200,1
vid201,0
vid202,0
vid203,0
vid204,1
vid205,1
vid206,1
vid207,1
vid208,0
vid209,0
vid210,0
vid211,0
vid212,1
vid213,0
vid214,0
vid215,1
vid216,0
vid217,0
vid218,1
vid219,1
vid220,0
vid221,0
vid222,1
vid223,1
vid224,1
vid225,0
vid226,1
vid227,0
vid228,0
vid229,1
vid230,1
vid231,0
vid232,1
vid233,1
vid234,1
vid235,1
vid236,0
vid237,0
vid238,0
vid239,1
vid240,1
vid241,1
vid242,1
vid243,1
vid244,0
vid245,1
vid246,0
vid247,1
vid248,1
vid249,1
vid250,0
vid251,0
vid252,0
vid253,0
vid254,0
vid255,0
vid256,0
vid257,0
vid258,0
vid259,1
vid260,0
vid261,0
vid262,0
vid263,1
vid264,0
vid265,0
vid266,1
vid267,1
vid268,0
vid269,1
vid270,1
vid271,0
vid272,0
vid273,1
vid274,1
vid275,1
vid276,1
vid277,1
vid278,0
vid279,0
vid280,1
vid281,1
vid282,0
vid283,1
vid284,1
vid285,1
vid286,1
vid287,0
vid288,0
vid289,1
vid290,0
vid291,0
vid292,1
vid293,0
vid294,1
vid295,0
vid296,1
vid297,0
vid298,0
vid299,1
vid300,0
