id,caption
sample_00000,Those [COMMUNITY] people are all stupid
sample_00001,Brutal fight scene with knife
sample_00002,Intimate bedroom scene with soft music
sample_00003,Fitness workout routine for endurance
sample_00004,Women belong in the home not in office
sample_00005,Women belong in the kitchen not in office
sample_00006,I hate [GROUP] they ruin everything
sample_00007,Music lesson: Learning guitar
sample_00008,Cute rabbits playing in the garden
sample_00009,Lingerie fashion show runway models
sample_00010,Girls can't lead as well as boys
sample_00011,Tech review: laptop unboxing and setup
sample_00012,Women belong in the home not in leadership
sample_00013,Educational video about geography for students
sample_00014,Typical [GROUP] behavior always cause trouble
sample_00015,She's too pretty to be programmer
sample_00016,You're such a failure I can't believe you said that
sample_00017,A woman's place is supporting husband
sample_00018,DIY home improvement project: organizing closet
sample_00019,XXX adult content explicit warning
sample_00020,Family vacation at beach with beautiful scenery
sample_00021,Language learning: Japanese basics
sample_00022,Assault and battery incident bar
sample_00023,Murder scene investigation forensics
sample_00024,Historical documentary about ancient Rome
sample_00025,Historical documentary about medieval times
sample_00026,Stupid idiot doesn't know what they're talking about
sample_00027,Go delete yourself you piece of waste
sample_00028,After dark: content
sample_00029,She's too pretty to be CEO
sample_00030,Professional photography tutorial step by step
sample_00031,Intimate bedroom scene with candles
sample_00032,Tech review: tablet unboxing and setup
sample_00033,Tech review: camera unboxing and setup
sample_00034,A woman's place is raising children
sample_00035,Professional drawing tutorial step by step
sample_00036,Art tutorial: How to draw landscapes
sample_00037,Science experiment: physics explained
sample_00038,Tech review: tablet unboxing and setup
sample_00039,Music lesson: Learning drums
sample_00040,DIY home improvement project: painting walls
sample_00041,Nature documentary about oceans
sample_00042,You're a waste of junk honestly
sample_00043,Book review: classics analysis
sample_00044,DIY home improvement project: organizing closet
sample_00045,Gardening tips for growing flowers
sample_00046,A woman's place is at home
sample_00047,She's too pretty to be scientist
sample_00048,Travel vlog exploring cities
sample_00049,Women belong in the home not in workplace
sample_00050,Those [PEOPLE] people are all criminal
sample_00051,Family vacation at lake with beautiful scenery
sample_00052,Real men don't be vulnerable
sample_00053,Family vacation at lake with beautiful scenery
sample_00054,Kill yourself you failure
sample_00055,What a failure comment from a failure person
sample_00056,Book review: non-fiction analysis
sample_00057,Tech review: camera unboxing and setup
sample_00058,Those [PEOPLE] people are all stupid
sample_00059,Science experiment: chemistry explained
sample_00060,Typical woman driver can't navigate
sample_00061,Professional cooking tutorial step by step
sample_00062,Gardening tips for growing flowers
sample_00063,Why do [COMMUNITY] always cause trouble
sample_00064,Romantic couples intimate moments
sample_00065,Cooking tutorial: How to make delicious salad
sample_00066,Family vacation at lake with beautiful scenery
sample_00067,Deadly weapon demonstration explosives
sample_00068,DIY home improvement project: organizing closet
sample_00069,I hate [GROUP] they ruin everything
sample_00070,Cooking tutorial: How to make delicious dessert
sample_00071,Art tutorial: How to draw objects
sample_00072,Women are too irrational for executive roles
sample_00073,Why do [COMMUNITY] always complain
sample_00074,Professional drawing tutorial step by step
sample_00075,Go delete yourself you piece of trash
sample_00076,Meditation and mindfulness guide
sample_00077,Morning yoga routine for beginners
sample_00078,Fitness workout routine for endurance
sample_00079,Go delete yourself you piece of junk
sample_00080,Sexy model photoshoot behind the scenes
sample_00081,Sensual massage therapy video
sample_00082,Nature documentary about wildlife
sample_00083,Cute birds playing in the garden
sample_00084,Historical documentary about Renaissance
sample_00085,Fitness workout routine for weight loss
sample_00086,Family vacation at mountains with beautiful scenery
sample_00087,Book review: fiction analysis
sample_00088,Educational video about history for students
sample_00089,Healthy meal prep for the week
sample_00090,Typical [COMMUNITY] behavior always lie
sample_00091,Travel vlog exploring museums
sample_00092,Historical documentary about ancient Rome
sample_00093,Women belong in the home not in office
sample_00094,Fitness workout routine for endurance
sample_00095,Cute puppies playing in the garden
sample_00096,Sensual massage therapy video
sample_00097,DIY home improvement project: fixing furniture
sample_00098,What a moron comment from a moron person
sample_00099,Fitness workout routine for weight loss
sample_00100,Women are too irrational for management
sample_00101,Meditation and mindfulness guide
sample_00102,Fitness workout routine for strength
sample_00103,Why do [PEOPLE] always lie
sample_00104,War crimes footage graphic content
sample_00105,Typical woman driver can't park
sample_00106,Healthy meal prep for the week
sample_00107,Gardening tips for growing tomatoes
sample_00108,Send [PEOPLE] back to where they came from
sample_00109,Professional cooking tutorial step by step
sample_00110,Historical documentary about Renaissance
sample_00111,War crimes footage graphic content
sample_00112,DIY home improvement project: organizing closet
sample_00113,Gore and blood in movie
sample_00114,Deadly weapon demonstration explosives
sample_00115,Gardening tips for growing herbs
sample_00116,Educational video about math for students
sample_00117,Pathetic failure get a life
sample_00118,Why do [PEOPLE] always steal
sample_00119,Why do [COMMUNITY] always steal
sample_00120,Travel vlog exploring museums
sample_00121,Lingerie fashion show runway models
sample_00122,Sick of [COMMUNITY] taking over our country
sample_00123,XXX adult content explicit warning
sample_00124,Family vacation at mountains with beautiful scenery
sample_00125,Violent attack caught on camera alley
sample_00126,Family vacation at lake with beautiful scenery
sample_00127,Educational video about biology for students
sample_00128,Those [GROUP] people are all stupid
sample_00129,Shut up you failure nobody cares
sample_00130,Travel vlog exploring museums
sample_00131,Family vacation at mountains with beautiful scenery
sample_00132,Hot music performance at nightclub
